,URL 주소,댓글작성자명,댓글작성일자,댓글 내용
38,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              빵식이
            ",7일 전,노래 가사 시점에 맞춰서 편집하신거 ㄹㅇ 미쳤다.. 멤버들 시점 나올 때 소름돋음
39,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              겨울
            ",2주 전,’사랑한다는 거짓밀로 쌓는 커리어‘ 이 가사가 아이의 마음을 정말 잘 표현한거 같아서 마음에 와닿네요
40,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              파치리스
            ",13일 전(수정됨),"가사 전체가 삶을 담고있네 밝으면서도 우중충해
특색있는 노래"
41,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Mr.H
            ",8시간 전,"애니와 별개로 봐도 곡 자체가 진짜 좋음...
이게 뭐라고 그렇게 인기가 많지 하고 한번 들어봤다가 나도 모르게 흥얼거리고 있음..."
42,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Adam Hue
            ",1일 전,"처음엔 진짜 요아소비 신곡인데 좀 특이하네
정도 느낌이었는데 댓글에 나온 각 절마다 시점이 바뀌는 걸
보면서 들으니 노래가 무슨 오페라 같이 서사가 느껴지는게
소름이 돋네요.. 오리콘 싱글 차트 1위 달린 이유가 있었음.."
43,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              애니보는건물주
            ",1개월 전(수정됨),이런 애니는 살면서 처음인거 같음 1화가 너무 충격적이서 후유증도 장난아니게 남았고 원작도 전작 다 사서 애니 나올 때마다 보고 있음 노래도 진짜 다 좋고 원작 스토리도 스토린데 요아소비가 그걸 너무 잘 해석해서 노래를 만든 거 같음 가사보면 1화 장면이 다 기억나고 특히 마지막 가사가 아이가 죽기전 자기 아이들한테 사랑한다고 말하는 장면의 대사랑 같은게 정말.. 너무 슬픔
44,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              이런 저런
            ",2주 전,"정말 자신의 인생을 표현한노래다
그리고 아이 캐릭터도 귀엽고 예쁜느낌하고
섬뜸하고 무서운 노래가 오묘하면서 자연스럽게  공존하는게 신기함"
45,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              첼
            ",3주 전,"진짜 가사랑 어찌 이리 잘 맞추셨지 2:30부터 덤덤하게 말하는 부분이 너무 좋음,, 마지막 사랑해까지 눈물 줄줄이에요"
46,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              PAPICO
            ",3주 전(수정됨),노래만 들으면 이런노래도 있구나 싶은데 1편 1시간반 웬만한 극장판 애니보다 내용 퀄이 상당히 뛰어납니다. 애니보면 노래 연출의 뛰어난부분을 느낄수 있어요.
47,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Fine-Apple
            ",7일 전,"피아노 기준 아이의 어두운 부분은 흑건 멜로디/밝은 부분은 백건 멜로디로 표현해둠
처음 들을땐 별생각 없었는데 알고 나서 들으니까 작곡 스킬도 장난아니게 훌륭함"
48,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              바쁘다바빠현대사회
            ",8일 전,아이돌 한번이라도 좋아해봤으면 무조건 들어봐야하는 노래... 최고임
49,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              편식하는 고로상
            ",1개월 전(수정됨),2:56 여기서부터 실제 팬들이 응원하는 함성 넣어서 몇번을 들어도 안질리는 극락파트를 만들어버리는 요아소비는 진짜 천재같다 ㄹㅇ..
50,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              새끼펭귄
            ",13일 전,오늘 코노 갔는데 다른 방에서 이거 부르고 계시던데… 실력을 떠나서 이걸 선곡하셨다는 용기에 박수를 보내고 싶었다
51,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              2 young
            ",2일 전,가사에 담긴 뜻을 장면 하나하나로 담아주셔서 정말 감사합니다 덕분에 전달이 더 잘되고 좋네요️
52,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              하하키
            ",2주 전(수정됨),"노래자체 중독성,가사에 내용 다 담고있음,애니 자체도 레전드,이분 편집까지 걍 완벽 ㅠㅠ"
53,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              K꿀벌 동구
            ",6일 전,"서사도 감동도 기술도 모두 갖춘 갓띵곡.

신나는 애니 ost 들으며 런닝하다가, 요아소비를 알게되서 관련 영상 보게되고, 최애의 아이 애니를 보게 되고, 그렇게 여기까지 와버렸다.

내가 살다살다 아이돌 소재 애니를 보고 덕후가 될줄이야!!!"
54,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              은수 정
            ",2주 전,진짜 매일 듣고싶어지게 만드는 묘한 매력의 음색 음악...
55,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              𓂃
            ",1개월 전,가사에 맞춰서 편집하신게 진짜 신의 한 수...
56,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              김지빈
            ",3주 전,진짜 아이 죽을때 별눈사라지고 그 공허한눈... 디테일 지렸다.. ㅈㄴ 감동이였는데..
57,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              진호
            ",5일 전,1:56 춤 도는 연출 미쳤네 이게 젤 좋다 ㅋㅋㅋㅋㅋㅋ
58,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              우르파르파5
            ",2주 전,진짜 작화 영혼을 갈아넣었네
59,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              염정은
            ",3주 전,비스타즈 노래 목소리 최애의 아이 목소리 등 전부 완벽하게 소화해버리는 유아소비 그녀는 대체..
60,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              히라이나연
            ",2시간 전,최애의 아이 너무 재밌게 보고있음~ 혹시나 영화로 나온다고해도 절대 비슷하게 만들수 없을정도의 퀄리티...  애니는 일본이 최고인듯!!
61,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              TEEN
            ",4일 전,"더 큰 공연장에서 방방 뛰는 라이브 듣기?
https://youtu.be/kiNMb248R0Q"
62,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              지남
            ",2주 전,이쿠라 목소리가 음색이 진짜 사기임... 솔로 발라드 들으면 진짜 너무 감미로운데 요아소비 노래중에 이런 컨셉 들으면 진짜 그냥 애니 다 찢을꺼같고... 성우같은거 해도 대박일듯... 진짜 보석일세... 물론 이런노래를 만든 아야세 자체가 ㄷㄷ;; 세션들도 너무 좋고 다들 즐거워보이고... 코러스랑 건반하시는분도 노래 엄청 잘하시던데...
63,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Love Poem
            ",1개월 전,"1:42 여긴 진짜 뭐지...?
창법을 이렇게 빠르고 정확하게 바꾸시네 ㄷㄷ
숨처리도 깔끔하고.."
64,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Violeta
            ",1개월 전,와 초반에 들어가는 부분 계속 돌려보게 되네 ㅋㅋㅋㅋ 이걸 라이브 하는 것도 대단한데 박자감이 미쳤다
65,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              이치고파르페
            ",1개월 전,와.. 감탄 밖에 안 나올 정도로 음원이랑 똑같고 라이브도 진짜 잘 하네요.. 역시 갓이쿠라..ヾ(≧▽≦*)o
66,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              신긴츼
            ",4주 전(수정됨),"혹시나 이거 보고 라이브 못한다 생각하는 사람들 있다면 절대 못하는게 아님
애초에 이걸 라이브로 하는 거조차가 불가능하고 음이나 노래 분위기 같은 게 진짜 준내 빠르게 바꿔져서 저정도로 하는 것도 진짜 요아소비 실력 아니면 안돼는 무대였음 ㄹㅇ"
67,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              쿠우겐여우
            ",2주 전,"1절 팬들이 아이를 볼때
2절 아이의 동료들이 아이를볼때
3절 아이의 마음
요아소비님들이 애니(소설)을 잘 파악하셨네요"
68,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              띠로리
            ",10일 전,와 진짜 요아소비는 프로듀싱도 보컬도 다 진화하는 모습만 보여주네요... 찐으로 놀랍네요
